GEOID,spirits_gal,wine_gal,beer_gal,spirits_AA,wine_AA,beer_AA,pop_21,craft_distill,craft_beer,spirits_tax,wine_tax,beer_tax,spirits_gal_per,wine_gal_per,beer_gal_per,total_aa_per_cap
01,6401868,8092730,97712000,2631168,1043962,4397040,3576938,4,34,18.27,1.7,1.05,1.79,2.26,27.32,2.26
02,1782506,2585524,15145601,732610,333533,681552,526554,11,36,12.8,2.5,1.07,3.39,4.91,28.76,3.32
04,10704894,17540422,143313000,4399711,2262714,6449085,5019451,24,96,3,0.84,0.16,2.13,3.49,28.55,2.61
05,3850310,4124493,50620792,1582477,532060,2277936,2164715,5,35,7.73,1.35,0.34,1.78,1.91,23.38,2.03
06,61036283,148347031,687240437,25085912,19136767,30925820,28595528,156,764,3.3,0.2,0.2,2.13,5.19,24.03,2.63
08,12860687,18163994,115745215,5285742,2343155,5208535,4064687,99,348,2.28,0.32,0.08,3.16,4.47,28.48,3.16
09,7187668,14430993,56760692,2954132,1861598,2554231,2666013,14,60,5.4,0.72,0.23,2.70,5.41,21.29,2.76
10,3460844,4513331,21096523,1422407,582220,949344,710833,7,21,4.5,0.97,0.26,4.87,6.35,29.68,4.16
11,2389332,4642358,14632000,982015,598864,658440,528384,7,12,6.17,1.79,0.7,4.52,8.79,27.69,4.24
12,43795810,71538173,422153766,18000078,9228424,18996919,15762578,56,243,6.5,2.25,0.48,2.78,4.54,26.78,2.93
13,14105318,16336986,185163000,5797286,2107471,8332335,7380678,23,69,3.79,1.51,1.01,1.91,2.21,25.09,2.20
15,2227622,5256836,33852000,915553,678132,1523340,1072049,13,18,5.98,1.38,0.93,2.08,4.90,31.58,2.91
16,2646670,12359609,27592675,1087781,1594390,1241670,1180194,14,54,10.95,0.45,0.15,2.24,10.47,23.38,3.32
17,19827360,35041223,262276345,8149045,4520318,11802436,9376656,43,200,8.55,1.39,0.23,2.11,3.74,27.97,2.61
18,11801708,12321398,118132001,4850502,1589460,5315940,4778455,37,137,2.68,0.47,0.12,2.47,2.58,24.72,2.46
19,5422853,4647159,74121203,2228793,599483,3335454,2264574,21,76,13.07,1.75,0.19,2.39,2.05,32.73,2.72
20,4314351,2623004,53477022,1773198,338368,2406466,2067790,8,36,2.5,0.3,0.18,2.09,1.27,25.86,2.18
21,7046999,6224724,78371323,2896317,802989,3526710,3253462,47,52,7.86,3.17,0.85,2.17,1.91,24.09,2.22
22,9287487,9977757,106082000,3817157,1287131,4773690,3393044,17,33,3.03,0.76,0.4,2.74,2.94,31.26,2.91
23,2795659,3893122,34441000,1149016,502213,1549845,1027816,19,99,5.83,0.6,0.35,2.72,3.79,33.51,3.11
