state,Category3,city,Cases3,latitude,longitude,name,desc,abbrv,new county,abbrv,trim new county
Alabama,Burma,Birmingham,1,33.520682,-86.802433,"Birmingham, Alabama",Birmingham, Jefferson County, Jefferson , AL,Jefferson
Arizona,Burma,Glendale,25,33.538985,-112.185816,"Glendale, Arizona",Glendale, Maricopa County, Maricopa , AZ,Maricopa
Arizona,Burma,Phoenix,34,33.448587,-112.077346,"Phoenix, Arizona",Phoenix, Maricopa County, Maricopa , AZ,Maricopa
Arizona,Burma,Tucson,2,32.221892,-110.926235,"Tucson, Arizona",Tucson, Pima County, Pima , AZ,Pima
Arkansas,Burma,Fayetteville,2,36.062584,-94.157433,"Fayetteville, Arkansas",Fayetteville, Washington County, Washington , AR,Washington
Arkansas,Burma,Springdale,2,36.186744,-94.128814,"Springdale, Arkansas",Springdale, Washington County, Washington , AR,Washington
California,Burma,Alhambra,3,34.093042,-118.12706,"Alhambra, California",Alhambra, Los Angeles County, Los Angeles , CA,Los Angeles
California,Burma,Castro Valley,2,37.694552,-122.085743,"Castro Valley, California",Castro Valley, Alameda County, Alameda , CA,Alameda
California,Burma,Daly City,4,37.705767,-122.46192,"Daly City, California",Daly City, San Mateo County, San Mateo , CA,San Mateo
California,Burma,El Cajon,2,32.794773,-116.962527,"El Cajon, California",El Cajon, San Diego County, San Diego , CA,San Diego
California,Burma,Fullerton,8,33.870822,-117.929416,"Fullerton, California",Fullerton, Orange County, Orange , CA,Orange
California,Burma,Oakland,4,37.804456,-122.271356,"Oakland, California",Oakland, Alameda County, Alameda , CA,Alameda
California,Burma,Oceanside,1,33.19587,-117.379483,"Oceanside, California",Oceanside, San Diego County, San Diego , CA,San Diego
California,Burma,Sacramento,1,38.581572,-121.4944,"Sacramento, California",Sacramento, Sacramento County, Sacramento , CA,Sacramento
California,Burma,San Diego,6,32.717421,-117.162771,"San Diego, California",San Diego, San Diego County, San Diego , CA,San Diego
California,Burma,San Gabriel,2,34.099133,-118.108604,"San Gabriel, California",San Gabriel, Los Angeles County, Los Angeles , CA,Los Angeles
California,Burma,San Jose,1,37.336191,-121.890583,"San Jose, California",San José, Santa Clara County, Santa Clara , CA,Santa Clara
Colorado,Burma,Aurora,12,39.729432,-104.83192,"Aurora, Colorado",Aurora, Arapahoe County, Arapahoe , CO,Arapahoe
Colorado,Burma,Colorado Springs,1,38.833958,-104.825348,"Colorado Springs, Colorado",Colorado Springs, El Paso County, El Paso , CO,El Paso
Colorado,Burma,Denver,46,39.739154,-104.984703,"Denver, Colorado",Denver, Denver County, Denver , CO,Denver
Colorado,Burma,Greeley,59,40.423314,-104.709132,"Greeley, Colorado",Greeley, Weld County, Weld , CO,Weld
Colorado,Burma,Lafayette,1,39.993596,-105.089706,"Lafayette, Colorado",Lafayette, Boulder County, Boulder , CO,Boulder
Colorado,Burma,Lakewood,9,39.631109,-105.110058,"Lakewood, Colorado",Lakewood, Jefferson County, Jefferson , CO,Jefferson
Connecticut,Burma,Hartford,15,41.764549,-72.690867,"Hartford, Connecticut",Hartford, Hartford County, Hartford , CT,Hartford
